pair_id,step_label_A,step_label_B,feature,tv
1,2019-09,2020-01,credit_a_1_last_contractst_964M,0.03452810288068506
1,2019-09,2020-01,credit_a_1_last_description_351M,0.035043147250572323
1,2019-09,2020-01,credit_a_1_first_description_351M,0.039917696407383615
1,2019-09,2020-01,credit_a_1_last_financialinstitution_591M,0.03452874375839983
1,2019-09,2020-01,credit_a_1_last_purposeofcred_426M,0.03452874375839983
1,2019-09,2020-01,credit_a_1_first_purposeofcred_426M,0.03452810288068504
1,2019-09,2020-01,credit_a_1_last_purposeofcred_874M,0.034528102880684995
1,2019-09,2020-01,credit_a_1_first_purposeofcred_874M,0.22541442704939973
1,2019-09,2020-01,credit_a_1_first_subjectrole_182M,0.03459988358841558
1,2019-09,2020-01,credit_a_1_first_subjectrole_93M,0.038196277436336516
1,2019-09,2020-01,person_1_max_contaddr_smempladdr_334L,0.0008895691225623335
1,2019-09,2020-01,person_1_min_contaddr_smempladdr_334L,0.0008895691225623335
1,2019-09,2020-01,person_1_max_empl_employedtotal_800L,0.017334661376819827
1,2019-09,2020-01,person_1_min_empl_employedtotal_800L,0.017334661376819827
1,2019-09,2020-01,person_1_max_empl_industry_691L,0.017354703908490945
1,2019-09,2020-01,person_1_min_empl_industry_691L,0.017354703908490945
1,2019-09,2020-01,person_1_max_familystate_447L,0.013992692354308783
1,2019-09,2020-01,person_1_min_familystate_447L,0.013992692354308783
1,2019-09,2020-01,person_1_max_housetype_905L,0.0
1,2019-09,2020-01,person_1_min_housetype_905L,0.0
1,2019-09,2020-01,person_1_max_incometype_1044T,0.02415686503397825
1,2019-09,2020-01,person_1_min_incometype_1044T,0.02415686503397825
1,2019-09,2020-01,person_1_max_relationshiptoclient_415T,0.01879211426300194
1,2019-09,2020-01,person_1_min_relationshiptoclient_415T,0.023497663006409885
1,2019-09,2020-01,person_1_max_relationshiptoclient_642T,0.01879211426300194
1,2019-09,2020-01,person_1_min_relationshiptoclient_642T,0.023497663006409885
1,2019-09,2020-01,person_1_max_role_1084L,0.026246553334942982
1,2019-09,2020-01,person_1_max_type_25L,0.0005978667394148482
1,2019-09,2020-01,person_1_min_type_25L,0.014459298063923598
1,2019-09,2020-01,person_1_last_education_927M,0.0016752113425556351
1,2019-09,2020-01,person_1_first_education_927M,0.009649257962491933
1,2019-09,2020-01,person_1_last_empladdr_district_926M,1.0529271374402285e-05
1,2019-09,2020-01,person_1_last_empladdr_zipcode_114M,1.0529271374402285e-05
1,2019-09,2020-01,person_1_last_language1_981M,0.0035834957195647055
1,2019-09,2020-01,person_1_first_language1_981M,0.008254264905056635
1,2019-09,2020-01,credit_a_2_last_collater_typofvalofguarant_298M,0.03494438387642838
1,2019-09,2020-01,credit_a_2_first_collater_typofvalofguarant_298M,0.03498958082562773
1,2019-09,2020-01,credit_a_2_last_collater_typofvalofguarant_407M,0.03494887002043192
1,2019-09,2020-01,credit_a_2_first_collater_typofvalofguarant_407M,0.22016156757214203
1,2019-09,2020-01,credit_a_2_last_collaterals_typeofguarante_359M,0.03494887002043192
1,2019-09,2020-01,credit_a_2_first_collaterals_typeofguarante_359M,0.22016156757214198
1,2019-09,2020-01,credit_a_2_last_collaterals_typeofguarante_669M,0.03494917538898277
1,2019-09,2020-01,credit_a_2_first_collaterals_typeofguarante_669M,0.03494438387642841
1,2019-09,2020-01,credit_a_2_last_subjectroles_name_541M,0.034948229142717134
1,2019-09,2020-01,credit_a_2_first_subjectroles_name_541M,0.22172157884012209
1,2019-09,2020-01,credit_a_2_first_subjectroles_name_838M,0.034944383876428384
2,2019-12,2020-04,cardtype_51L,0.029124836008361302
2,2019-12,2020-04,credtype_322L,0.0348703929101068
2,2019-12,2020-04,disbursementtype_67L,0.00948620490056723
2,2019-12,2020-04,equalitydataagreement_891L,0.00032477549103229124
2,2019-12,2020-04,inittransactioncode_186L,0.009314944310325503
2,2019-12,2020-04,lastapprcommoditycat_1041M,0.04930166059882643
2,2019-12,2020-04,lastrejectcommoditycat_161M,0.007366218274602691
2,2019-12,2020-04,lastrejectreason_759M,0.04925686892303191
2,2019-12,2020-04,lastrejectreasonclient_4145040M,0.03926951196023172
2,2019-12,2020-04,lastst_736L,0.03310466198134047
2,2019-12,2020-04,opencred_647L,0.02377497728186734
2,2019-12,2020-04,twobodfilling_608L,0.00642777160858287
2,2019-12,2020-04,description_5085714M,0.0004842741023487787
2,2019-12,2020-04,education_1103M,0.019815126824939095
2,2019-12,2020-04,education_88M,0.0025392710734920432
2,2019-12,2020-04,maritalst_385M,0.03301338689083799
2,2019-12,2020-04,maritalst_893M,0.0038361606132902588
2,2019-12,2020-04,requesttype_4525192L,0.2877273457377437
2,2019-12,2020-04,applprev_1_max_credacc_status_367L,0.03490771295755526
2,2019-12,2020-04,applprev_1_min_credacc_status_367L,0.03526444730995829
2,2019-12,2020-04,applprev_1_max_credtype_587L,0.04183677741987728
2,2019-12,2020-04,applprev_1_min_credtype_587L,0.028523174782709913
2,2019-12,2020-04,applprev_1_max_familystate_726L,0.020304785999767583
2,2019-12,2020-04,applprev_1_min_familystate_726L,0.020636036469757577
2,2019-12,2020-04,applprev_1_max_inittransactioncode_279L,0.02946716943505162
2,2019-12,2020-04,applprev_1_min_inittransactioncode_279L,0.034354254967542575
2,2019-12,2020-04,applprev_1_max_isbidproduct_390L,0.02377497728186731
2,2019-12,2020-04,applprev_1_max_isdebitcard_527L,0.04183562310116603
2,2019-12,2020-04,applprev_1_min_isdebitcard_527L,0.04183562310116602
2,2019-12,2020-04,applprev_1_max_status_219L,0.026353804522830926
2,2019-12,2020-04,applprev_1_min_status_219L,0.03407826704696062
2,2019-12,2020-04,applprev_1_last_education_1138M,0.0237749772818673
2,2019-12,2020-04,applprev_1_first_education_1138M,0.03967870738283259
2,2019-12,2020-04,applprev_1_last_postype_4733339M,0.4470387352460981
2,2019-12,2020-04,applprev_1_first_postype_4733339M,0.4470883349065327
2,2019-12,2020-04,applprev_1_last_rejectreason_755M,0.023774977281867272
2,2019-12,2020-04,applprev_1_first_rejectreason_755M,0.03831576703123657
2,2019-12,2020-04,applprev_1_last_rejectreasonclient_4145042M,0.023774977281867306
2,2019-12,2020-04,applprev_1_first_rejectreasonclient_4145042M,0.02377497728186728
2,2019-12,2020-04,credit_a_1_last_classificationofcontr_13M,0.009551407625906961
2,2019-12,2020-04,credit_a_1_first_classificationofcontr_13M,0.016359360545663615
2,2019-12,2020-04,credit_a_1_last_classificationofcontr_400M,0.009545660061784592
2,2019-12,2020-04,credit_a_1_last_contractst_545M,0.009551407625906961
2,2019-12,2020-04,credit_a_1_first_contractst_545M,0.016028094199083177
2,2019-12,2020-04,credit_a_1_last_contractst_964M,0.009545660061784596
2,2019-12,2020-04,credit_a_1_last_description_351M,0.00966412235923354
2,2019-12,2020-04,credit_a_1_first_description_351M,0.01116255339051349
2,2019-12,2020-04,credit_a_1_last_financialinstitution_591M,0.00955485856732374
2,2019-12,2020-04,credit_a_1_last_purposeofcred_426M,0.00955485856732374
2,2019-12,2020-04,credit_a_1_first_purposeofcred_426M,0.016351620350248924
2,2019-12,2020-04,credit_a_1_last_purposeofcred_874M,0.009545660061784554
2,2019-12,2020-04,credit_a_1_first_purposeofcred_874M,0.03058185169005621
2,2019-12,2020-04,credit_a_1_first_subjectrole_182M,0.01674054074706586
2,2019-12,2020-04,credit_a_1_first_subjectrole_93M,0.026550142878977383
2,2019-12,2020-04,person_1_max_contaddr_smempladdr_334L,0.0003598434465124133
2,2019-12,2020-04,person_1_min_contaddr_smempladdr_334L,0.0003598434465124133
2,2019-12,2020-04,person_1_max_empl_employedtotal_800L,0.014053303617299267
2,2019-12,2020-04,person_1_min_empl_employedtotal_800L,0.014053303617299267
2,2019-12,2020-04,person_1_max_empl_industry_691L,0.014403509925744164
2,2019-12,2020-04,person_1_min_empl_industry_691L,0.014403509925744164
2,2019-12,2020-04,person_1_max_familystate_447L,0.011601893118463689
2,2019-12,2020-04,person_1_min_familystate_447L,0.011601893118463689
2,2019-12,2020-04,person_1_max_housetype_905L,0.0
2,2019-12,2020-04,person_1_min_housetype_905L,0.0
2,2019-12,2020-04,person_1_max_incometype_1044T,0.006979335802654418
2,2019-12,2020-04,person_1_min_incometype_1044T,0.006979335802654418
2,2019-12,2020-04,person_1_max_relationshiptoclient_415T,0.018029834125021967
2,2019-12,2020-04,person_1_min_relationshiptoclient_415T,0.01801426805781713
2,2019-12,2020-04,person_1_max_relationshiptoclient_642T,0.018029834125021967
2,2019-12,2020-04,person_1_min_relationshiptoclient_642T,0.01801426805781713
2,2019-12,2020-04,person_1_max_role_1084L,0.017413124609259006
2,2019-12,2020-04,person_1_max_type_25L,0.0006071401273500892
